data,temperatura_c,umidade_relativa
2023-03-01,28.5,75
2023-03-02,30.1,80
2023-03-03,27.9,70
2023-03-04,29.2,74
2023-03-05,31.0,82
2023-03-06,28.7,76
2023-03-07,27.5,69
2023-03-08,29.8,78
2023-03-09,30.4,81
2023-03-10,28.9,73
2023-03-11,27.8,71
2023-03-12,29.0,74
2023-03-13,30.6,79
2023-03-14,31.2,83
2023-03-15,28.4,72
2023-03-16,27.6,68
2023-03-17,29.3,75
2023-03-18,30.0,77
2023-03-19,31.5,84
2023-03-20,28.1,70
2023-03-21,27.4,67
2023-03-22,29.7,76
2023-03-23,30.8,80
2023-03-24,31.1,82
2023-03-25,28.6,73
2023-03-26,27.9,71
2023-03-27,29.4,75
2023-03-28,30.2,78
2023-03-29,31.6,85
2023-03-30,28.3,72
2023-03-31,27.7,69
2023-04-01,29.1,74
2023-04-02,30.5,79
2023-04-03,31.3,83
2023-04-04,28.8,73
2023-04-05,27.6,68
2023-04-06,29.2,75
2023-04-07,30.0,77
2023-04-08,31.4,84
2023-04-09,28.2,71
2023-04-10,27.5,67
2023-04-11,29.6,76
2023-04-12,30.7,80
2023-04-13,31.2,82
2023-04-14,28.9,73
2023-04-15,27.8,70
2023-04-16,29.3,74
2023-04-17,30.1,78
2023-04-18,31.0,81
2023-04-19,28.7,72
