amostra,ph,temperatura,concentracao
A01,6.8,25.2,0.15
A02,7.1,26.5,0.18
A03,6.5,24.9,0.14
A04,6.9,25.8,0.16
A05,7.0,26.1,0.17
A06,6.7,25.0,0.15
A07,6.6,24.7,0.13
A08,7.2,26.8,0.19
A09,6.9,25.6,0.16
A10,7.0,26.0,0.17
A11,6.8,25.4,0.15
A12,6.7,25.1,0.14
A13,7.1,26.3,0.18
A14,6.5,24.8,0.13
A15,6.9,25.7,0.16
A16,7.0,26.2,0.17
A17,6.6,24.9,0.14
A18,7.2,26.9,0.19
A19,6.8,25.3,0.15
A20,7.1,26.4,0.18
A21,6.7,25.0,0.14
A22,6.9,25.8,0.16
A23,7.0,26.1,0.17
A24,6.6,24.7,0.13
A25,7.2,27.0,0.19
A26,6.8,25.2,0.15
A27,6.5,24.6,0.13
A28,7.1,26.5,0.18
A29,6.9,25.7,0.16
A30,7.0,26.2,0.17
A31,6.7,25.1,0.14
A32,6.8,25.3,0.15
A33,7.2,26.9,0.19
A34,6.6,24.8,0.13
A35,7.1,26.4,0.18
A36,6.9,25.6,0.16
A37,7.0,26.0,0.17
A38,6.7,24.9,0.14
A39,6.8,25.4,0.15
A40,7.2,27.1,0.20
A41,6.5,24.7,0.13
A42,7.0,26.1,0.17
A43,6.9,25.8,0.16
A44,7.1,26.3,0.18
A45,6.6,24.8,0.13
A46,6.8,25.2,0.15
A47,7.2,27.0,0.19
A48,6.7,25.0,0.14
A49,7.0,26.2,0.17
A50,6.9,25.7,0.16
