"co_anomes","co_ibge","vl_indicador_calculado_mun","co_uf","no_municipio","sg_uf","no_uf","co_regiao_brasil","no_regiao_brasil","sg_regiao_brasil","co_regiao_saude","no_regiao_saude","no_macro","co_macro","vl_indicador_calculado_rs","vl_indicador_calculado_ms","vl_indicador_calculado_uf","vl_indicador_calculado_reg","vl_indicador_calculado_br","vl_indicador_calculado_al","dt_competencia","dt_atualizacao","ds_unidade_medida","sg_granularidade","ds_granularidade"
202512,412440,0.0,41,"Santo Antônio do Sudoeste","PR","Paraná",4,"Sul","S",41008,"8ª RS Francisco Beltrão","Macrorregião Oeste",4108,6398.0,48735.0,199519.0,502234.0,2839874.0,0.0,"2025-12-01 12:00:00","2026-03-17 01:09:48","Número","MN","Município"
202512,412450,0.0,41,"Santo Inácio","PR","Paraná",4,"Sul","S",41015,"15ª RS Maringá","Macrorregional Noroeste",4106,11567.0,26834.0,199519.0,502234.0,2839874.0,0.0,"2025-12-01 12:00:00","2026-03-17 01:09:48","Número","MN","Município"
202512,412460,0.0,41,"São Carlos do Ivaí","PR","Paraná",4,"Sul","S",41014,"14ª RS Paranavaí","Macrorregional Noroeste",4106,334.0,26834.0,199519.0,502234.0,2839874.0,0.0,"2025-12-01 12:00:00","2026-03-17 01:09:48","Número","MN","Município"
202512,412470,0.0,41,"São Jerônimo da Serra","PR","Paraná",4,"Sul","S",41018,"18ª RS Cornélio Procópio","Macrorregional Norte",4105,3698.0,42551.0,199519.0,502234.0,2839874.0,0.0,"2025-12-01 12:00:00","2026-03-17 01:09:48","Número","MN","Município"
202512,412480,0.0,41,"São João","PR","Paraná",4,"Sul","S",41007,"7ª RS Pato Branco","Macrorregião Oeste",4108,5417.0,48735.0,199519.0,502234.0,2839874.0,0.0,"2025-12-01 12:00:00","2026-03-17 01:09:48","Número","MN","Município"
202512,412490,0.0,41,"São João do Caiuá","PR","Paraná",4,"Sul","S",41014,"14ª RS Paranavaí","Macrorregional Noroeste",4106,334.0,26834.0,199519.0,502234.0,2839874.0,0.0,"2025-12-01 12:00:00","2026-03-17 01:09:48","Número","MN","Município"
202512,412500,0.0,41,"São João do Ivaí","PR","Paraná",4,"Sul","S",41022,"22ª RS IV aiporã","Macrorregional Norte",4105,2976.0,42551.0,199519.0,502234.0,2839874.0,0.0,"2025-12-01 12:00:00","2026-03-17 01:09:48","Número","MN","Município"
202512,412510,0.0,41,"São João do Triunfo","PR","Paraná",4,"Sul","S",41003,"3ª RS Ponta Grossa","Macrorregional Leste",4107,3407.0,81399.0,199519.0,502234.0,2839874.0,0.0,"2025-12-01 12:00:00","2026-03-17 01:09:48","Número","MN","Município"
202512,412520,0.0,41,"São Jorge D'Oeste","PR","Paraná",4,"Sul","S",41008,"8ª RS Francisco Beltrão","Macrorregião Oeste",4108,6398.0,48735.0,199519.0,502234.0,2839874.0,0.0,"2025-12-01 12:00:00","2026-03-17 01:09:48","Número","MN","Município"
202512,412530,0.0,41,"São Jorge do Ivaí","PR","Paraná",4,"Sul","S",41015,"15ª RS Maringá","Macrorregional Noroeste",4106,11567.0,26834.0,199519.0,502234.0,2839874.0,0.0,"2025-12-01 12:00:00","2026-03-17 01:09:48","Número","MN","Município"
